bowler,death_economy_rate,middle_economy_rate,powerplay_economy_rate,death_overs_bowled,middle_overs_bowled,powerplay_overs_bowled
Mustafizur Rahman,8.94,7.57,6.96,94.5,54.833333333333336,72.0
N Burger,4.11,8.61,10.07,3.1666666666666665,3.8333333333333335,9.833333333333334
N Rana,6.75,8.36,8.88,4.0,22.5,4.166666666666667
N Thushara,8.96,9.9,8.96,11.166666666666666,3.3333333333333335,13.833333333333334
N Wadhera,0.0,6.5,0.0,0.0,2.0,0.0
NA Saini,19.71,9.43,0.0,1.1666666666666667,1.1666666666666667,0.0
NB Singh,0.0,0.0,4.09,0.0,0.0,3.6666666666666665
ND Doshi,5.5,8.0,10.67,2.0,4.5,3.0
NJ Rimmington,0.0,6.0,7.09,0.0,1.0,1.8333333333333333
NL McCullum,0.0,7.76,6.0,0.0,2.8333333333333335,2.0
NLTC Perera,11.15,7.44,7.37,39.0,48.5,29.833333333333332
NM Coulter-Nile,9.28,6.78,6.9,42.333333333333336,41.166666666666664,62.0
NT Ellis,10.89,7.54,6.94,19.833333333333332,24.0,16.0
Naman Dhir,0.0,12.78,6.0,0.0,3.8333333333333335,1.0
Navdeep Saini,8.86,8.5,8.2,31.166666666666668,32.833333333333336,47.666666666666664
Naveen-ul-Haq,9.16,7.1,9.6,27.833333333333332,14.5,24.166666666666668
Nithish Kumar Reddy,12.0,10.46,9.0,4.833333333333333,11.666666666666666,3.0
Noor Ahmad,7.27,7.88,7.78,8.666666666666666,69.5,6.166666666666667
O Thomas,7.71,4.36,9.64,2.3333333333333335,1.8333333333333333,5.5
OC McCoy,8.2,8.72,7.0,11.833333333333334,15.833333333333334,2.0
OF Smith,14.21,11.79,7.0,3.1666666666666665,9.5,3.0
P Amarnath,13.76,10.67,12.0,2.8333333333333335,17.333333333333332,1.0
P Awana,10.23,7.06,7.93,30.0,51.666666666666664,45.0
P Dubey,11.0,7.87,0.0,1.0,10.166666666666666,0.0
P Kumar,10.3,7.62,6.59,100.16666666666667,61.0,266.3333333333333
P Negi,10.9,7.3,9.14,13.666666666666666,99.5,7.0
P Parameswaran,9.54,7.19,10.54,6.5,13.5,6.166666666666667
P Prasanth,0.0,18.0,0.0,0.0,1.0,0.0
P Ray Barman,20.0,12.0,0.0,1.0,3.0,0.0
P Sahu,10.59,7.85,10.0,2.8333333333333335,13.5,1.0
P Suyal,9.69,7.2,8.67,4.333333333333333,2.5,10.5
PC Valthaty,9.47,7.95,0.0,3.1666666666666665,22.0,0.0
PD Collingwood,5.48,7.16,0.0,3.8333333333333335,11.166666666666666,0.0
PH Solanki,7.5,6.0,0.0,2.0,3.8333333333333335,0.0
PJ Cummins,9.99,7.84,8.18,65.16666666666667,66.16666666666667,92.0
PJ Sangwan,9.59,8.11,8.25,22.833333333333332,63.166666666666664,61.666666666666664
PM Sarvesh Kumar,0.0,8.5,6.86,0.0,4.0,1.1666666666666667
PP Chawla,8.62,7.86,7.77,74.33333333333333,495.8333333333333,73.5
PP Ojha,9.27,6.85,7.96,48.333333333333336,229.33333333333334,39.833333333333336
PV Tambe,10.86,7.09,8.62,13.166666666666666,84.33333333333333,13.0
PVD Chameera,11.06,7.8,8.39,11.666666666666666,10.0,26.833333333333332
PWH de Silva,7.93,7.95,9.9,14.5,67.16666666666667,10.0
Pankaj Singh,12.94,9.61,7.57,8.5,17.166666666666668,25.5
Parvez Rasool,0.0,7.71,9.23,0.0,22.166666666666668,10.833333333333334
R Ashwin,7.92,6.86,6.72,101.83333333333333,465.3333333333333,203.66666666666666
R Bhatia,8.58,7.2,12.5,38.833333333333336,230.83333333333334,2.0
R Dhawan,9.7,7.42,7.9,16.5,71.0,25.833333333333332
R Goyal,0.0,8.61,0.0,0.0,3.8333333333333335,0.0
R McLaren,10.98,8.64,8.31,13.666666666666666,20.833333333333332,25.5
R Ninan,16.0,9.8,0.0,1.0,5.0,0.0
R Parag,15.43,9.96,10.0,1.1666666666666667,28.0,1.0
R Powell,12.0,9.0,0.0,1.1666666666666667,2.3333333333333335,0.0
R Rampaul,11.22,5.32,5.89,9.0,8.833333333333334,27.333333333333332
R Ravindra,0.0,3.5,0.0,0.0,2.0,0.0
R Sai Kishore,12.77,7.06,9.5,5.166666666666667,24.5,2.0
R Sanjay Yadav,0.0,11.25,8.0,0.0,1.3333333333333333,1.0
R Sathish,18.0,7.9,0.0,4.333333333333333,19.5,0.0
R Sharma,8.88,6.67,6.75,25.666666666666668,113.83333333333333,14.666666666666666
R Shepherd,13.06,12.34,8.88,5.666666666666667,11.833333333333334,4.166666666666667
R Shukla,12.91,9.95,8.38,5.5,6.333333333333333,8.833333333333334
R Tewatia,7.17,7.79,7.5,7.666666666666667,133.66666666666666,2.0
R Vinay Kumar,10.32,7.72,7.17,112.0,119.66666666666667,126.33333333333333
RA Jadeja,8.62,7.38,8.28,87.16666666666667,532.1666666666666,22.333333333333332
RA Shaikh,0.0,0.0,11.0,0.0,0.0,1.0
RA Tripathi,0.0,12.0,0.0,0.0,1.0,0.0
RD Chahar,7.89,7.6,7.86,28.0,240.33333333333334,11.833333333333334
RE van der Merwe,8.06,6.06,9.08,15.5,52.333333333333336,6.166666666666667
RG More,9.18,8.31,15.0,2.8333333333333335,2.1666666666666665,1.0
RG Sharma,8.69,7.81,7.73,8.166666666666666,40.333333333333336,8.666666666666666
RJ Gleeson,10.67,4.62,9.16,3.0,2.1666666666666665,3.1666666666666665
RJ Harris,9.35,7.48,6.32,45.333333333333336,22.333333333333332,72.16666666666667
RJ Peterson,13.0,7.0,5.0,3.0,3.0,2.0
RJW Topley,13.35,9.56,8.57,5.166666666666667,4.5,8.166666666666666
RN ten Doeschate,10.29,6.47,0.0,1.1666666666666667,12.666666666666666,0.0
RP Meredith,10.26,8.45,8.34,23.5,25.333333333333332,18.833333333333332
RP Singh,9.01,7.94,6.91,90.16666666666667,41.666666666666664,172.83333333333334
RR Bhatkal,0.0,15.0,20.0,0.0,1.0,1.0
RR Bose,0.0,0.0,12.0,0.0,0.0,2.0
RR Powar,8.75,7.1,7.35,4.0,45.5,23.0
RR Raje,10.11,8.41,7.71,6.333333333333333,16.166666666666668,1.1666666666666667
RS Bopara,9.95,8.05,0.0,6.833333333333333,27.833333333333332,0.0
RS Gavaskar,8.0,0.0,0.0,1.0,0.0,0.0
RS Hangargekar,6.4,9.6,9.0,2.5,3.3333333333333335,1.3333333333333333
RV Gomez,12.5,7.43,0.0,2.0,14.0,0.0
RV Patel,9.43,5.08,0.0,1.1666666666666667,2.1666666666666665,0.0
RW Price,0.0,9.5,14.0,0.0,2.0,1.0
Ramandeep Singh,9.6,7.26,0.0,4.166666666666667,3.1666666666666665,0.0
Rashid Khan,8.06,6.41,7.94,85.83333333333333,335.0,54.0
Rasikh Salam,10.82,9.51,9.6,10.166666666666666,15.666666666666666,8.333333333333334
Ravi Bishnoi,8.64,7.38,8.17,36.333333333333336,186.33333333333334,18.0
S Aravind,9.46,8.37,7.39,25.166666666666668,31.666666666666668,72.5
S Badree,4.0,7.72,7.37,1.0,15.666666666666666,26.333333333333332
S Dhawan,0.0,8.0,9.75,0.0,5.0,2.6666666666666665
S Dube,10.6,8.79,0.0,7.166666666666667,11.833333333333334,0.0
S Gopal,6.76,8.29,7.96,9.166666666666666,137.16666666666666,18.833333333333332
S Joseph,0.0,10.15,10.71,0.0,2.1666666666666665,2.3333333333333335
S Kaul,8.83,8.11,8.93,68.66666666666667,75.83333333333333,58.0
S Kaushik,15.55,7.34,12.33,3.6666666666666665,27.666666666666668,3.0
S Ladda,12.0,8.62,9.53,6.0,14.5,2.8333333333333335
S Lamichhane,10.06,7.85,8.45,5.166666666666667,17.833333333333332,11.833333333333334
S Midhun,0.0,13.5,0.0,0.0,2.0,0.0
S Nadeem,9.28,7.12,8.03,19.5,167.33333333333334,51.166666666666664
S Narwal,19.67,8.77,9.26,3.0,4.333333333333333,11.333333333333334
S Rana,3.0,8.0,0.0,0.6666666666666666,2.0,0.0
S Randiv,9.0,7.09,9.0,3.0,24.666666666666668,2.3333333333333335
S Sandeep Warrier,0.0,8.44,8.85,0.0,5.333333333333333,23.5
S Sreesanth,10.84,7.37,7.11,22.5,30.0,102.5
S Sriram,0.0,16.33,0.0,0.0,3.0,0.0
S Tyagi,14.77,6.91,8.04,2.1666666666666665,5.5,28.0
S Vidyut,0.0,10.15,0.0,0.0,2.1666666666666665,0.0
SA Abbott,15.43,8.86,10.65,1.1666666666666667,3.5,5.166666666666667
SA Yadav,0.0,0.0,8.0,0.0,0.0,1.0
SB Bangar,14.61,8.16,4.24,3.8333333333333335,18.5,2.8333333333333335
SB Jakati,9.56,7.75,8.62,21.333333333333332,143.16666666666666,16.0
SB Joshi,11.14,8.62,0.0,1.1666666666666667,8.0,0.0
SB Styris,10.59,6.38,6.0,10.666666666666666,18.5,7.5
SB Wagh,10.12,0.0,7.59,2.6666666666666665,0.0,14.5
SC Ganguly,17.45,7.38,10.11,1.8333333333333333,40.5,3.1666666666666665
SC Kuggeleijn,7.92,8.53,11.0,4.166666666666667,3.1666666666666665,1.0
SD Chitnis,7.71,10.17,12.0,1.1666666666666667,3.8333333333333335,1.0
SE Bond,9.32,6.0,6.2,9.333333333333334,7.166666666666667,15.166666666666666
SE Rutherford,2.4,8.55,0.0,0.8333333333333334,6.666666666666667,0.0
SH Johnson,7.35,12.2,8.43,5.166666666666667,5.0,6.166666666666667
SJ Srivastava,8.8,8.39,8.96,10.0,17.166666666666668,23.333333333333332
SK Raina,8.63,7.11,7.57,21.666666666666668,119.33333333333333,10.833333333333334
SK Trivedi,8.93,6.95,8.76,51.166666666666664,179.83333333333334,22.5
SK Warne,8.84,6.72,9.67,36.666666666666664,158.5,6.0
SL Malinga,7.75,7.06,6.15,188.83333333333334,105.0,189.66666666666666
SM Boland,7.33,10.0,7.33,3.0,1.0,3.0
SM Curran,10.82,9.99,8.06,66.33333333333333,42.833333333333336,93.5
SM Harwood,10.62,5.71,2.21,4.333333333333333,3.5,3.1666666666666665
SM Pollock,8.0,7.75,6.06,1.0,10.833333333333334,34.5
SMSM Senanayake,8.61,9.43,5.16,3.8333333333333335,7.0,21.333333333333332
SN Khan,18.0,0.0,0.0,0.3333333333333333,0.0,0.0
SN Thakur,9.83,7.76,8.82,115.66666666666667,106.5,102.66666666666667
SP Narine,7.4,6.39,6.78,170.33333333333334,354.1666666666667,156.16666666666666
SPD Smith,15.0,0.0,0.0,0.3333333333333333,0.0,0.0
SR Tendulkar,19.0,7.8,0.0,1.0,5.0,0.0
SR Watson,9.19,7.23,6.95,103.33333333333333,103.16666666666667,141.83333333333334
SS Agarwal,0.0,10.33,11.0,0.0,3.0,1.0
SS Cottrell,15.16,6.32,7.04,3.1666666666666665,3.1666666666666665,15.333333333333334
SS Iyer,7.0,0.0,0.0,1.0,0.0,0.0
SS Mundhe,0.0,0.0,5.14,0.0,0.0,1.1666666666666667
SS Sarkar,6.0,6.0,15.0,2.1666666666666665,1.0,1.0
SSB Magala,4.91,6.46,14.0,1.8333333333333333,2.1666666666666665,2.0
ST Jayasuriya,8.6,7.6,10.0,10.0,38.666666666666664,1.0
STR Binny,9.54,7.27,7.28,10.166666666666666,64.33333333333333,26.5
SW Tait,8.28,8.02,6.84,25.0,17.333333333333332,43.0
SZ Mulani,15.75,7.58,12.0,1.3333333333333333,3.1666666666666665,1.0
Sachin Baby,6.0,4.0,0.0,0.6666666666666666,1.0,0.0
Sandeep Sharma,9.73,7.67,6.89,111.33333333333333,97.16666666666667,273.1666666666667
Shahbaz Ahmed,7.55,9.31,9.52,5.166666666666667,61.0,24.166666666666668
Shahid Afridi,9.77,7.28,6.24,5.833333333333333,19.5,4.166666666666667
Shakib Al Hasan,9.16,6.89,7.5,33.5,141.0,74.83333333333333
Shashank Singh,0.0,7.89,0.0,0.0,3.1666666666666665,0.0
Shivam Mavi,10.14,6.65,8.14,34.5,27.833333333333332,50.0
Shivam Sharma,9.5,8.47,0.0,4.0,15.0,0.0
Shoaib Ahmed,14.0,6.74,12.33,3.0,10.833333333333334,3.0
Shoaib Akhtar,0.0,0.0,7.04,0.0,0.0,7.666666666666667
Shoaib Malik,9.38,9.0,0.0,2.6666666666666665,6.666666666666667,0.0
Sikandar Raza,0.0,9.21,12.92,0.0,12.166666666666666,2.1666666666666665
Simarjeet Singh,8.29,8.07,8.2,5.666666666666667,9.666666666666666,16.333333333333332
Sohail Tanvir,6.88,4.0,5.96,17.0,2.0,23.666666666666668
Sumit Kumar,12.0,10.0,0.0,0.6666666666666666,3.0,0.0
Sunny Gupta,0.0,16.15,12.0,0.0,2.1666666666666665,1.0
Suyash Sharma,10.74,8.25,7.33,6.333333333333333,34.166666666666664,3.0
Swapnil Singh,0.0,8.8,8.65,0.0,20.333333333333332,7.166666666666667
T Henderson,9.53,4.33,0.0,2.8333333333333335,3.0,0.0
T Natarajan,9.68,7.52,8.18,95.16666666666667,72.5,61.5
T Shamsi,14.0,8.51,0.0,3.0,16.333333333333332,0.0
T Stubbs,5.0,7.58,0.0,1.0,3.1666666666666665,0.0
T Thushara,10.0,4.36,5.7,8.0,5.5,10.0
TA Boult,10.51,8.64,6.98,107.83333333333333,48.5,242.66666666666666
TG Southee,10.26,7.51,7.82,59.333333333333336,37.833333333333336,108.5
TK Curran,11.75,8.9,9.29,19.833333333333332,14.833333333333334,7.0
TL Suman,11.52,7.14,6.0,4.166666666666667,20.166666666666668,0.8333333333333334
TM Dilshan,7.44,8.03,8.45,4.166666666666667,34.0,7.333333333333333
TM Head,9.0,12.9,0.0,3.0,6.666666666666667,0.0
TP Sudhindra,14.0,10.85,9.23,3.5,4.333333333333333,4.333333333333333
TS Mills,9.91,11.07,8.24,11.0,11.833333333333334,12.5
TU Deshpande,10.46,9.7,8.14,47.5,19.166666666666668,68.66666666666667
Tejas Baroka,18.0,8.0,8.0,0.5,2.0,1.0
Tilak Varma,12.0,6.0,7.0,0.6666666666666666,2.1666666666666665,1.0
UT Yadav,10.14,8.03,7.6,126.66666666666667,146.5,245.83333333333334
Umar Gul,10.12,6.79,5.56,8.5,8.833333333333334,6.833333333333333
Umran Malik,10.22,8.25,17.81,12.333333333333334,66.66666666666667,5.333333333333333
V Kaverappa,0.0,16.0,6.67,0.0,1.0,3.0
V Kohli,12.44,8.0,0.0,4.5,39.0,0.0
V Pratap Singh,9.91,7.85,8.5,7.166666666666667,11.333333333333334,16.0
V Sehwag,13.64,8.2,20.14,3.6666666666666665,16.833333333333332,2.3333333333333335
V Shankar,7.76,8.08,7.64,8.5,32.666666666666664,1.8333333333333333
V Viyaskanth,0.0,9.05,0.0,0.0,9.5,0.0
VG Arora,9.65,10.54,8.02,13.166666666666666,6.166666666666667,49.0
VR Aaron,10.57,7.72,8.35,37.0,69.33333333333333,66.5
VR Iyer,9.43,11.23,0.0,5.833333333333333,7.833333333333333,0.0
VRV Singh,8.94,8.38,10.18,17.666666666666668,29.833333333333332,13.166666666666666
VS Malik,10.29,7.73,7.27,1.1666666666666667,12.166666666666666,21.333333333333332
VS Yeligati,13.0,10.74,14.4,1.0,3.1666666666666665,0.8333333333333334
VY Mahesh,7.62,7.83,10.9,10.5,34.5,13.666666666666666
Vijaykumar Vyshak,11.76,9.37,9.0,8.166666666666666,25.833333333333332,6.333333333333333
Vivrant Sharma,0.0,10.57,0.0,0.0,3.5,0.0
WA Mota,11.75,6.0,0.0,4.0,8.333333333333334,0.0
WD Parnell,8.34,6.9,7.31,40.166666666666664,20.0,63.5
WG Jacks,0.0,12.77,8.5,0.0,5.166666666666667,4.0
WPUJC Vaas,12.0,8.77,6.24,7.833333333333333,6.5,32.666666666666664
Washington Sundar,9.9,6.87,8.23,10.5,102.0,63.166666666666664
Y Gnaneswara Rao,0.0,7.0,0.0,0.0,1.0,0.0
Y Nagar,0.0,10.45,10.0,0.0,11.0,1.0
Y Prithvi Raj,0.0,7.2,15.23,0.0,3.3333333333333335,2.1666666666666665
Y Venugopal Rao,13.25,8.4,9.57,4.0,25.833333333333332,7.0
YA Abdulla,11.03,8.06,6.94,10.333333333333334,11.166666666666666,14.833333333333334
YBK Jaiswal,36.0,0.0,0.0,0.16666666666666666,0.0,0.0
YK Pathan,9.54,7.48,6.57,13.0,119.83333333333333,60.166666666666664
YS Chahal,9.09,7.35,7.93,104.83333333333333,424.8333333333333,66.33333333333333
Yash Dayal,9.26,8.83,9.05,30.666666666666668,21.166666666666668,49.5
Yash Thakur,10.53,9.34,9.26,29.833333333333332,25.166666666666668,15.333333333333334
Yudhvir Singh,12.0,11.0,9.38,3.0,1.0,8.0
Yuvraj Singh,8.22,7.3,0.0,18.5,126.66666666666667,0.0
Z Khan,9.11,8.14,6.64,100.5,50.833333333333336,218.66666666666666
