id,team,rolling_5_form
1254084,Chennai Super Kings,1.0
1254104,Chennai Super Kings,0.8
1254113,Chennai Super Kings,0.8
1254098,Chennai Super Kings,0.8
1254091,Chennai Super Kings,0.8
1254089,Chennai Super Kings,0.8
1254110,Chennai Super Kings,0.8
1254094,Chennai Super Kings,0.6
1254114,Chennai Super Kings,0.4
1254117,Chennai Super Kings,0.4
1304047,Chennai Super Kings,0.4
1304053,Chennai Super Kings,0.4
1304057,Chennai Super Kings,0.4
1304063,Chennai Super Kings,0.4
1304068,Chennai Super Kings,0.2
1304075,Chennai Super Kings,0.2
1304079,Chennai Super Kings,0.2
1304084,Chennai Super Kings,0.4
1304092,Chennai Super Kings,0.4
1304095,Chennai Super Kings,0.6
1304101,Chennai Super Kings,0.4
1304105,Chennai Super Kings,0.6
1304108,Chennai Super Kings,0.4
1304114,Chennai Super Kings,0.4
1359475,Chennai Super Kings,0.2
1359480,Chennai Super Kings,0.2
1359486,Chennai Super Kings,0.2
1359491,Chennai Super Kings,0.4
1359498,Chennai Super Kings,0.4
1359503,Chennai Super Kings,0.6
1359507,Chennai Super Kings,0.8
1359511,Chennai Super Kings,0.8
1359515,Chennai Super Kings,0.6
1359519,Chennai Super Kings,0.6
1359523,Chennai Super Kings,0.4
1359529,Chennai Super Kings,0.4
1359535,Chennai Super Kings,0.4
1359541,Chennai Super Kings,0.4
1370350,Chennai Super Kings,0.6
1370353,Chennai Super Kings,0.8
1422119,Chennai Super Kings,0.8
1422125,Chennai Super Kings,0.8
1422131,Chennai Super Kings,1.0
1422136,Chennai Super Kings,0.8
1426260,Chennai Super Kings,0.6
1426267,Chennai Super Kings,0.6
1426272,Chennai Super Kings,0.6
1426277,Chennai Super Kings,0.4
1426284,Chennai Super Kings,0.4
1426287,Chennai Super Kings,0.6
1426291,Chennai Super Kings,0.4
1426297,Chennai Super Kings,0.4
1426299,Chennai Super Kings,0.4
1426306,Chennai Super Kings,0.6
335984,Delhi Capitals,0.5
335988,Delhi Capitals,1.0
335995,Delhi Capitals,1.0
335998,Delhi Capitals,0.6666666666666666
336001,Delhi Capitals,0.75
336004,Delhi Capitals,0.8
336009,Delhi Capitals,0.6
336015,Delhi Capitals,0.4
336017,Delhi Capitals,0.4
336020,Delhi Capitals,0.2
336022,Delhi Capitals,0.2
336026,Delhi Capitals,0.2
336032,Delhi Capitals,0.4
336038,Delhi Capitals,0.6
392183,Delhi Capitals,0.6
392189,Delhi Capitals,0.6
392194,Delhi Capitals,0.8
392198,Delhi Capitals,0.8
392201,Delhi Capitals,0.6
392206,Delhi Capitals,0.8
392211,Delhi Capitals,0.6
392215,Delhi Capitals,0.6
392219,Delhi Capitals,0.6
392223,Delhi Capitals,0.8
392226,Delhi Capitals,0.8
392230,Delhi Capitals,0.8
392232,Delhi Capitals,0.8
392235,Delhi Capitals,0.6
392237,Delhi Capitals,0.6
419108,Delhi Capitals,0.4
419111,Delhi Capitals,0.6
419114,Delhi Capitals,0.6
419116,Delhi Capitals,0.6
419120,Delhi Capitals,0.4
419128,Delhi Capitals,0.4
419131,Delhi Capitals,0.4
419134,Delhi Capitals,0.4
419140,Delhi Capitals,0.6
419144,Delhi Capitals,0.8
419149,Delhi Capitals,0.8
419152,Delhi Capitals,0.6
419155,Delhi Capitals,0.4
419160,Delhi Capitals,0.4
501201,Delhi Capitals,0.2
501204,Delhi Capitals,0.2
501213,Delhi Capitals,0.2
501216,Delhi Capitals,0.4
501223,Delhi Capitals,0.2
501227,Delhi Capitals,0.4
501230,Delhi Capitals,0.4
501233,Delhi Capitals,0.4
501238,Delhi Capitals,0.4
501243,Delhi Capitals,0.4
501246,Delhi Capitals,0.4
501253,Delhi Capitals,0.4
501257,Delhi Capitals,0.4
501265,Delhi Capitals,0.2
548307,Delhi Capitals,0.2
548310,Delhi Capitals,0.2
548316,Delhi Capitals,0.2
548325,Delhi Capitals,0.4
548321,Delhi Capitals,0.6
548333,Delhi Capitals,0.8
548337,Delhi Capitals,0.6
548342,Delhi Capitals,0.8
548345,Delhi Capitals,0.8
548349,Delhi Capitals,0.8
548357,Delhi Capitals,0.8
548329,Delhi Capitals,0.8
548364,Delhi Capitals,0.8
548369,Delhi Capitals,0.6
548372,Delhi Capitals,0.6
548374,Delhi Capitals,0.4
548378,Delhi Capitals,0.6
548380,Delhi Capitals,0.4
597998,Delhi Capitals,0.4
598001,Delhi Capitals,0.2
598006,Delhi Capitals,0.2
598010,Delhi Capitals,0.0
598017,Delhi Capitals,0.0
598020,Delhi Capitals,0.0
598024,Delhi Capitals,0.0
598059,Delhi Capitals,0.2
598035,Delhi Capitals,0.2
598040,Delhi Capitals,0.4
598044,Delhi Capitals,0.6
598049,Delhi Capitals,0.6
598054,Delhi Capitals,0.4
598062,Delhi Capitals,0.4
598028,Delhi Capitals,0.2
598067,Delhi Capitals,0.0
729281,Delhi Capitals,0.0
729289,Delhi Capitals,0.0
729293,Delhi Capitals,0.2
729301,Delhi Capitals,0.2
729309,Delhi Capitals,0.2
733975,Delhi Capitals,0.4
733981,Delhi Capitals,0.4
733985,Delhi Capitals,0.2
733993,Delhi Capitals,0.2
734005,Delhi Capitals,0.2
734011,Delhi Capitals,0.0
734019,Delhi Capitals,0.0
734031,Delhi Capitals,0.0
734039,Delhi Capitals,0.0
829707,Delhi Capitals,0.0
829715,Delhi Capitals,0.0
829725,Delhi Capitals,0.0
829731,Delhi Capitals,0.2
829739,Delhi Capitals,0.4
829747,Delhi Capitals,0.4
829757,Delhi Capitals,0.6
829767,Delhi Capitals,0.6
829777,Delhi Capitals,0.6
829783,Delhi Capitals,0.4
829761,Delhi Capitals,0.4
829793,Delhi Capitals,0.2
829801,Delhi Capitals,0.2
829813,Delhi Capitals,0.2
980903,Delhi Capitals,0.2
980913,Delhi Capitals,0.2
980921,Delhi Capitals,0.4
980933,Delhi Capitals,0.6
980945,Delhi Capitals,0.6
980951,Delhi Capitals,0.6
980961,Delhi Capitals,0.8
980965,Delhi Capitals,0.8
980971,Delhi Capitals,0.6
980983,Delhi Capitals,0.4
980993,Delhi Capitals,0.6
980997,Delhi Capitals,0.4
981003,Delhi Capitals,0.2
981011,Delhi Capitals,0.4
1082595,Delhi Capitals,0.4
1082599,Delhi Capitals,0.2
